STT,TuNgu,SoTu,PhienAm,IPA,LoaiTu,SoNghia,NghiaTiengViet,GhiChu,MoTa1,MoTa2
1,ꪀꪱ,1,,,d.,1,quạ,,ꪒꪾ ꪹꪁꪷ꪿ ꪶꪔ ꪀꪱ: đen như con quạ,
2,ꪀꪱ,2,,,d.,1,ca,đồ dùng,ꪀꪱ ꪔꪰꪀ ꪙꪾ꫁: ca múc nước,
3,ꪀꪱ,3,,,d.,1,,xem. ꪀꪎꪱ,: ,
4,ꪀ꪿ꪱ,1,,,k.,1,tận,,ꪤꪴ꪿ ꪀ꪿ꪱ ꪒꪲꪙ ꪻꪔ꫁: ở tận miền xuôi,
5,ꪀ꪿ꪱ,2,,,tr.,1,cả,,ꪙꪰ꪿ꪉ ꪤꪴ ꪩ꫁ꪱ ꪀ꪿ꪱ ꪣꪳ꫁: ngồi không cả ngày,ꪀ꪿ꪱ ꪋ꪿ꪺ: cả đời
6,ꪀ꪿ꪱ,3,,,d.,1,Quý,(thiên can),ꪜꪲ ꪀ꪿ꪱ ꪹꪢ꫁ꪱ: năm Quý Mão,
8,ꪀ꫁ꪱ,2,,,đg.,1,ươm,,ꪀ꫁ꪱ ꪵꪀ꪿ꪙ ꪢꪱꪀ ꪣ꪿ꪺꪉ: ươm hạt xoài,
9,ꪀ꫁ꪱ,3,,,đg.,1,tôi luyện,,ꪣꪲꪒ ꪀ꫁ꪱ ꪒꪲ: dao tôi luyện tốt,
12,ꪀ꫁ꪱ ꪀꪮꪉ,1,,,t.,1,thướt tha,,: ,
14,ꪀ꫁ꪱ ꪬꪱꪙ,1,,,t.,1,"anh dũng, dũng cảm",,: ,
15,ꪀ꫁ꪱ ꪶꪠꪉ,1,,,d.,1,mạ không giâm,,: ,
16,ꪀ꫁ꪱ ꪏꪾ,1,,,d.,1,mạ giâm,,: ,
17,ꪀ꫁ꪱ ꪵꪀ꪿,1,,,t.,1,gan góc,,: ,
20,ꪀ꪿ꪱꪀ,1,,,đg.,1,gác,,ꪀ꪿ꪱꪀ ꪵꪒꪙ ꪹꪣꪉ: gác biên giới,ꪀ꪿ꪱꪀ ꪹꪕꪸꪉ ꪁꪳꪙ: gác ban đêm;
21,ꪀ꪿ꪱꪀ,2,,,d.,1,các,,ꪜꪴ꪿ ꪹꪊ꫁ꪱ ꪔꪱ ꪹꪉꪷꪙ ꪊꪰ꪿ꪉ ꪜꪽ ꪻꪬ꫁ ꪀ꪿ꪱꪀ ꪩꪴꪀ ꪕ꫁ꪱꪫ: Cụ chủ Ta Ngần mới chia cho các con tạo,"ꪀ꪿ꪱꪀ ꪎꪳ꪿ꪀ: các thứ, các loại;"
23,ꪀꪱꪥ,2,,,t.,1,quá,,ꪀꪱꪥ ꪣꪺ ꪋꪲ ꪎꪸ ꪩ꫁ꪱ: quá mùa sẽ uổng phí,
24,ꪀꪱꪥ,3,,,đg.,1,cai,từ mượn,ꪀꪱꪥ ꪠꪴ: cai phu,
26,ꪀꪱꪥ ꪹꪣ꪿,1,,,t.,1,"qua thì, qua thời",,: ,
27,ꪀꪱꪥ ꪹꪋꪷ,1,,,t.,1,quá giờ,,: ,
28,ꪀꪱꪥ ꪀꪱꪒ,1,,,t.,1,quá mức,,: ,
29,ꪀꪱꪥ ꪹꪁꪷ꪿,1,,,t.,1,"quá đáng, quá tệ",,: ,
30,ꪀꪱꪥ ꪁꪲ,1,,,t.,1,"quá kỳ, lỗi thời",,: ,
37,ꪀꪱꪥ ꪫ꪿ꪱ,2,,,t.,1,khỏi phải nói,,: ,
40,ꪀ꪿ꪱꪥ,1,,,t.,1,bắc,,ꪀ꪿ꪱꪥ ꪄꪺ: bắc cầu,
41,ꪀ꪿ꪱꪥ,1,,,t.,2,"gác, đặt",,ꪀ꪿ꪱꪥ ꪵꪁ꪿ꪉ ꪀ꪿ꪱꪥ ꪄꪱ: gác chân gác đùi,
42,ꪀ꪿ꪱꪥ,1,,,t.,3,"kề, sát",,ꪚ꪿ꪱ ꪀ꪿ꪱꪥ ꪚ꪿ꪱ: vai kề vai,
43,ꪀ꪿ꪱꪥ,2,,,t.,1,sao chép,,ꪀ꪿ꪱꪥ ꪁꪫꪱꪣ ꪶꪕ ꪩꪱꪉ: sao chép truyện cổ tích,
44,ꪀ꪿ꪱꪥ ꪋꪸꪙ,1,,,t.,1,lưu truyền,,ꪀ꪿ꪱꪥ ꪋꪸꪙ ꪭꪮꪒ ꪹꪓꪷꪥ ꪨꪰꪉ: lưu truyền đến đời sau,
45,ꪀ꫁ꪱꪥ,1,,,t.,1,"thay, đổi, cải",,ꪀ꫁ꪱꪥ ꪋꪳ꪿ ꪀ꫁ꪱꪥ ꪭꪷ꫁: thay tên đổi họ,
46,ꪀ꫁ꪱꪣ,1,,,d.,1,càng,,ꪀ꫁ꪱꪣ ꪜꪴ: càng cua,
47,ꪀ꫁ꪱꪣ,2,,,d.,1,lòng trắng,,ꪀ꫁ꪱꪣ ꪼꪎ꪿ ꪼꪀ꪿: lòng trắng trứng gà,
48,ꪀ꫁ꪱꪣ,2,,,d.,2,cùi,,ꪀ꫁ꪱꪣ ꪝ꫁ꪱꪫ: cùi dừa,
50,ꪀ꫁ꪱꪙ,1,,,d.,1,"cuống, cuộng, dọc lá",,ꪀ꫁ꪱꪙ ꪠꪰꪀ ꪀꪱꪒ: cuống rau cải,ꪀ꫁ꪱꪙ ꪀ꫁ꪺꪥ: dọc lá chuối;
51,ꪀ꫁ꪱꪙ,1,,,d.,2,cán,,ꪀ꫁ꪱꪙ ꪹꪁꪷ: cán cờ,
