"Thai","Vietnamese","POS_Tags_Thai"
"ꪒꪾ ꪹꪁꪷ꪿ ꪶꪔ ꪀꪱ","đen như con quạ","d. t. t. d."
"ꪀꪱ ꪔꪰꪀ ꪙꪾ꫁","ca múc nước","d. cxđ. đg."
"ꪤꪴ꪿ ꪀ꪿ꪱ ꪒꪲꪙ ꪻꪔ꫁","ở tận miền xuôi","p. k. cxđ."
"ꪙꪰ꪿ꪉ ꪤꪴ ꪩ꫁ꪱ ꪀ꪿ꪱ ꪣꪳ꫁","ngồi không cả ngày","cxđ. UNK đg. k. đg."
"ꪜꪲ ꪀ꪿ꪱ ꪹꪢ꫁ꪱ","năm Quý Mão","d. k. UNK"
"ꪀ꫁ꪱ ꪵꪀ꪿ꪙ ꪢꪱꪀ ꪣ꪿ꪺꪉ","ươm hạt xoài","đg. d. cxđ."
"ꪣꪲꪒ ꪀ꫁ꪱ ꪒꪲ","dao tôi luyện tốt","cxđ. đg. d."
"ꪀ꪿ꪱꪀ ꪵꪒꪙ ꪹꪣꪉ","gác biên giới","đg. cxđ."
"ꪜꪴ꪿ ꪹꪊ꫁ꪱ ꪔꪱ ꪹꪉꪷꪙ ꪊꪰ꪿ꪉ ꪜꪽ ꪻꪬ꫁ ꪀ꪿ꪱꪀ ꪩꪴꪀ ꪕ꫁ꪱꪫ","Cụ chủ Ta Ngần mới chia cho các con tạo","d. UNK cxđ. cxđ. cxđ. cxđ. đg. cxđ. cxđ."
"ꪀꪱꪥ ꪣꪺ ꪋꪲ ꪎꪸ ꪩ꫁ꪱ","quá mùa sẽ uổng phí","t. d. cxđ. cxđ."
"ꪀꪱꪥ ꪠꪴ","cai phu","t. cxđ."
"ꪀ꪿ꪱꪥ ꪄꪺ","bắc cầu","t. d."
"ꪀ꪿ꪱꪥ ꪵꪁ꪿ꪉ ꪀ꪿ꪱꪥ ꪄꪱ","gác chân gác đùi","t. d. t. đg."
"ꪚ꪿ꪱ ꪀ꪿ꪱꪥ ꪚ꪿ꪱ","vai kề vai","d. t. d."
"ꪀ꪿ꪱꪥ ꪁꪫꪱꪣ ꪶꪕ ꪩꪱꪉ","sao chép truyện cổ tích","t. đg. cxđ."
"ꪀ꪿ꪱꪥ ꪋꪸꪙ ꪭꪮꪒ ꪹꪓꪷꪥ ꪨꪰꪉ","lưu truyền đến đời sau","t. .ctxđ d. đg."
"ꪀ꫁ꪱꪥ ꪋꪳ꪿ ꪀ꫁ꪱꪥ ꪭꪷ꫁","thay tên đổi họ","t. p. t. cxđ."
"ꪀ꫁ꪱꪣ ꪜꪴ","càng cua","d. cxđ."
"ꪀ꫁ꪱꪣ ꪼꪎ꪿ ꪼꪀ꪿","lòng trắng trứng gà","d. cxđ. d."
"ꪀ꫁ꪱꪣ ꪝ꫁ꪱꪫ","cùi dừa","d. cxđ."
"ꪀ꫁ꪱꪙ ꪠꪰꪀ ꪀꪱꪒ","cuống rau cải","d. cxđ."
"ꪀ꫁ꪱꪙ ꪹꪁꪷ","cán cờ","d. d."
"ꪀ꪿ꪱꪉ ꪵꪋ","cáng chè","d. cxđ."
"ꪣ꫁ꪮꪙ ꪄꪳ꫁ꪙ ꪀ꪿ꪱꪉ","tằm lên bủa","d. cxđ. d."
"ꪀ꪿ꪱꪉ ꪖꪸꪉ ꪼꪭ꪿","lên khung lều nương","d. cxđ. cxđ."
"ꪀ꪿ꪱꪉ ꪢꪷ꫁","bắc nồi","d. d."
"ꪢꪱ ꪀ꫁ꪱꪉ ꪒꪴꪀ","chó hóc xương","d. đg. d."
"ꪀꪱꪚ ꪀ꫁ꪺꪥ","Bẹ chuối","d. d."
"ꪔꪱꪣ ꪀꪱꪚ ꪼꪣ꫁","Đun bằng vỏ cây khô","cxđ. d. d."
"ꪀꪱꪚ ꪖ꫁ꪺꪥ","Mảnh bát","d. d."
"ꪎꪮꪉ ꪮꪱ ꪨꪱꪙ","hai cô cháu","đg. đ. cxđ."
